year,session,month,level,scoring_section,max_score,mean_score,standard_deviation,population,source_url
2022,1,7,N1,Listening,60,32.4,10.3,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N2,Listening,60,35.6,10.5,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N3,Listening,60,35.8,11.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N4,Listening,60,31.7,10.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N5,Listening,60,30.5,9.6,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N1,Total Score,180,88.0,31.0,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N2,Total Score,180,87.3,27.4,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N3,Total Score,180,97.7,27.1,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N4,Total Score,180,90.3,29.7,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,1,7,N5,Total Score,180,87.1,30.8,Total,https://www.jlpt.jp/statistics/pdf/2022_1_5.pdf
2022,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,28.3,10.7,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
2022,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,24.6,11.2,Total,https://www.jlpt.jp/statistics/pdf/2022_2_5.pdf
